code,name
46.38.26,Торговля оптовая мороженым и замороженными десертами
30.30.2,Производство аэростатов; дирижаблей; планеров; дельтапланов и прочих безмоторных летательных аппаратов
30.30.3,Производство вертолетов; самолетов и прочих летательных аппаратов
46.38.25,Торговля оптовая солью
23.99.61,Производство минеральных теплоизоляционных материалов и изделий
46.4,Торговля оптовая непродовольственными потребительскими товарами
01.30,Выращивание рассады
28.29.6,Производство оборудования для обработки материалов с использованием процессов; включающих изменение температуры; не включенного в другие группировки
46.5,Торговля оптовая информационным и коммуникационным оборудованием
46.6,Торговля оптовая прочими машинами; оборудованием и принадлежностями
28.29.3,Производство промышленного; бытового и прочего оборудования для взвешивания и дозировки
46.7,Торговля оптовая специализированная прочая
28.29.1,Производство газогенераторов; аппаратов для дистилляции и фильтрования
46.9,Торговля оптовая неспециализированная
46.17.1,Деятельность агентов по оптовой торговле пищевыми продуктами
46.1,Торговля оптовая за вознаграждение или на договорной основе
28.29.7,Производство неэлектрического оборудования и инструментов для пайки мягким и твердым припоем или сварки; машин и аппаратов для газотермического напыления
46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными
46.3,Торговля оптовая пищевыми продуктами; напитками и табачными изделиями
64.91.2,Деятельность по финансовой аренде (лизингу/сублизингу) в прочих областях; кроме племенных животных
14.12.1,Производство спецодежды; кроме изготовленных по индивидуальному заказу
70.10.2,Деятельность по управлению холдинг-компаниями
70.10.1,Деятельность по управлению финансово-промышленными группами
01.25,Выращивание прочих плодовых деревьев; кустарников и орехов
01.24,Выращивание семечковых и косточковых культур
79.90.3,Деятельность по предоставлению туристических услуг; связанных с бронированием
11.0,Производство напитков
01.23,Выращивание цитрусовых культур
01.21,Выращивание винограда
79.90.2,Деятельность по предоставлению экскурсионных туристических услуг
79.90.1,Деятельность по предоставлению туристических информационных услуг
45.40,Торговля мотоциклами; их деталями; узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов
14.12.2,Пошив производственной одежды по индивидуальному заказу населения
46.73.1,Торговля оптовая древесным сырьем и необработанными лесоматериалами
66.30.9,Другие виды деятельности по управлению активами
45.20.3,Мойка автотранспортных средств; полирование и предоставление аналогичных услуг
46.73.5,Торговля оптовая листовым стеклом
46.73.4,Торговля оптовая лакокрасочными материалами
46.73.3,Торговля оптовая санитарно-техническим оборудованием
46.73.2,Торговля оптовая пиломатериалами
28.29.31,Производство промышленного оборудования для взвешивания и дозировки
07.10.2,Добыча железных руд открытым способом
75.00,Деятельность ветеринарная
66.30.1,Управление инвестиционными фондами
46.73.8,Торговля оптовая напольными покрытиями (кроме ковров)
45.20.1,Техническое обслуживание и ремонт легковых автомобилей и легких грузовых автотранспортных средств
26.70,Производство оптических приборов; фото- и кинооборудования
46.73.7,Торговля оптовая обоями
45.20.2,Техническое обслуживание и ремонт прочих автотранспортных средств
46.73.6,Торговля оптовая прочими строительными материалами и изделиями
68.1,Покупка и продажа собственного недвижимого имущества
68.3,Операции с недвижимым имуществом за вознаграждение или на договорной основе
68.2,Аренда и управление собственным или арендованным недвижимым имуществом
01.13.51,Выращивание сахарной свеклы
49.39.39,Перевозки пассажиров сухопутным транспортом прочие; не включенные в другие группировки
28.29.22,Производство огнетушителей; распылителей; пароструйных или пескоструйных машин
28.29.13,Производство масляных; бензиновых и всасывающих воздушных фильтров для двигателей внутреннего сгорания
28.29.12,Производство оборудования и установок для фильтрования или очистки жидкостей
33.2,Монтаж промышленных машин и оборудования
26.80,Производство незаписанных магнитных и оптических технических носителей информации
45.32.21,Торговля розничная автомобильными деталями; узлами и принадлежностями через информационно-коммуникационную сеть Интернет
49.39.33,Перевозка пассажиров автобусами в городском и пригородном сообщении по заказам
26.52,Производство часов
26.51,Производство инструментов и приборов для измерения; тестирования и навигации
38.32,Утилизация отсортированных материалов
25.50.1,Предоставление услуг по ковке; прессованию; объемной и листовой штамповке и профилированию листового металла
25.50.2,Предоставление услуг по производству изделий методом порошковой металлургии
49.39.12,Регулярные перевозки пассажиров автобусами в международном сообщении
49.39.13,Специальные перевозки (для собственных нужд) автобусами
28.29.43,Производство торговых автоматов
26.70.6,Производство оптических прицелов и приборов определения координат целей
26.70.5,Производство линз; оптических микроскопов; биноклей и телескопов
26.70.1,Производство фото- и кинооборудования
55.1,Деятельность гостиниц и прочих мест для временного проживания
55.2,Деятельность по предоставлению мест для краткосрочного проживания
26.60,Производство облучающего и электротерапевтического оборудования; применяемого в медицинских целях
38.21,Обработка и утилизация неопасных отходов
53.20.1,Деятельность специальной почтовой связи
38.22,Обработка и утилизация опасных отходов
87.30,Деятельность по уходу за престарелыми и инвалидами с обеспечением проживания
53.20.3,Деятельность курьерская
53.20.2,Деятельность фельдъегерской связи
81.29.1,Дезинфекция; дезинсекция; дератизация зданий; промышленного оборудования
13.99.2,Производство фетра и войлока
13.99.9,Производство текстильных изделий различного назначения; не включенных в другие группировки
20.5,Производство прочих химических продуктов
20.4,Производство мыла и моющих; чистящих и полирующих средств; парфюмерных и косметических средств
20.3,Производство красок; лаков и аналогичных материалов для нанесения покрытий; полиграфических красок и мастик
13.99.1,Производство кружевного сетчатого и гардинно-тюлевого полотна; а также кружев и вышитых изделий; в кусках; в форме полос или отдельных вышивок
20.1,Производство основных химических веществ; удобрений и азотных соединений; пластмасс и синтетического каучука в первичных формах
20.59.5,Производство прочих химических продуктов; не включенных в другие группировки
20.59.4,Производство смазочных материалов; присадок к смазочным материалам и антифризов
26.30,Производство коммуникационного оборудования
38.11,Сбор неопасных отходов
38.12,Сбор опасных отходов
28.99.1,Производство переплетного; наборного; включая фотонаборные машины; печатного оборудования и его составных частей
87.20,Деятельность по оказанию помощи на дому для лиц с ограниченными возможностями развития; душевнобольным и наркозависимым
28.99.3,Производство пусковых устройств для воздушных судов; катапультирующих устройств для воздушных судов и т. п. оборудования
28.99.2,Производство оборудования и аппаратуры для производства полупроводниковых слитков или пластин; полупроводниковых устройств; электронных интегральных микросхем или плоскопанельных дисплеев
99.00,Деятельность экстерриториальных организаций и органов
69.20.1,Деятельность по проведению финансового аудита
69.20.2,Деятельность по оказанию услуг в области бухгалтерского учета
28.99.9,Производство оборудования специального назначения; не включенного в другие группировки
81.29.2,Подметание улиц и уборка снега
69.20.3,Деятельность области налогового консультирования
77.3,Аренда и лизинг прочих машин и оборудования и материальных средств
81.29.9,Деятельность по чистке и уборке прочая; не включенная в другие группировки
16.21.1,Производство фанеры; деревянных фанерованных панелей и аналогичных слоистых материалов; древесных плит из древесины и других одревесневших материалов
77.2,Прокат и аренда предметов личного пользования и хозяйственно-бытового назначения
26.40,Производство бытовой электроники
46.51.1,Торговля оптовая компьютерами и периферийными устройствами
14.31,Производство вязаных и трикотажных чулочно-носочных изделий
46.51.2,Торговля оптовая программным обеспечением
10.72.4,Производство замороженных хлебобулочных полуфабрикатов
26.12,Производство электронных печатных плат
26.11,Производство элементов электронной аппаратуры
01.13.12,Выращивание овощей защищенного грунта
42.1,Строительство автомобильных и железных дорог
42.2,Строительство инженерных коммуникаций
14.39,Производство прочих вязаных и трикотажных изделий
63.99,Деятельность информационных служб прочая; не включенная в другие группировки
45.11.1,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами
45.11.2,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах
45.19.41,Торговля оптовая прочими автотранспортными средствами через информационно-коммуникационную сеть Интернет за вознаграждение или на договорной основе
45.11.3,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами прочая
45.11.4,Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами за вознаграждение или на договорной основе
01.13.31,Выращивание картофеля
26.20,Производство компьютеров и периферийного оборудования
46.90,Торговля оптовая неспециализированная
63.91,Деятельность информационных агентств
24.43.1,Производство свинца
24.43.2,Производство цинка
35.11.1,Производство электроэнергии тепловыми электростанциями; в том числе деятельность по обеспечению работоспособности электростанций
43.12,Подготовка строительной площадки
43.13,Разведочное бурение
77.39.1,Аренда и лизинг прочих сухопутных транспортных средств и оборудования
77.39.2,Аренда и лизинг прочих машин и оборудования; не включенных в другие группировки
95.11,Ремонт компьютеров и периферийного компьютерного оборудования
95.12,Ремонт коммуникационного оборудования
64.9,Деятельность по предоставлению прочих финансовых услуг; кроме услуг по страхованию и пенсионному обеспечению
64.1,Денежное посредничество
43.11,Разборка и снос зданий
35.11.3,Производство электроэнергии атомными электростанциями; в том числе деятельность по обеспечению работоспособности электростанций
35.11.2,Производство электроэнергии гидроэлектростанциями; в том числе деятельность по обеспечению работоспособности электростанций
35.11.4,Производство электроэнергии; получаемой из возобновляемых источников энергии; включая выработанную солнечными; ветровыми; геотермальными электростанциями; в том числе деятельность по обеспечению их работоспособности
46.42.2,Торговля оптовая обувью
01.43.1,Разведение лошадей; ослов; мулов; лошаков
46.42.1,Торговля оптовая одеждой
86.90.4,Деятельность санаторно-курортных организаций
86.90.3,Деятельность массажных салонов
86.90.2,Деятельность организаций судебно-медицинской экспертизы
86.90.1,Деятельность организаций санитарно-эпидемиологической службы
26.52.1,Производство часов всех видов и прочих приборов времени
26.52.2,Производство часовых механизмов; деталей и составных частей часов и приборов времени
86.90.9,Деятельность в области медицины прочая; не включенная в другие группировки
66.12.3,Деятельность эмиссионная
66.12.2,Деятельность по управлению ценными бумагами
66.12.1,Деятельность биржевых посредников и биржевых брокеров; совершающих товарные фьючерсные и опционные сделки в биржевой торговле
46.12.31,Деятельность агентов по оптовой торговле промышленными и техническими химическими веществами
47.62.1,Торговля розничная газетами и журналами в специализированных магазинах
47.62.2,Торговля розничная писчебумажными и канцелярскими товарами в специализированных магазинах
28.49.12,Производство деревообрабатывающих станков
46.12.21,Деятельность агентов по оптовой торговле рудами
46.12.22,Деятельность агентов по оптовой торговле металлами в первичных формах
95.29,Ремонт прочих предметов личного потребления и бытовых товаров
95.25,Ремонт часов и ювелирных изделий
95.21,Ремонт электронной бытовой техники
95.22,Ремонт бытовых приборов; домашнего и садового инвентаря
95.23,Ремонт обуви и прочих изделий из кожи
31.01,Производство мебели для офисов и предприятий торговли
13.20.2,Производство хлопчатобумажных тканей
46.12.32,Деятельность агентов по оптовой торговле удобрениями и агрохимикатами
31.03,Производство матрасов
31.02,Производство кухонной мебели
13.20.3,Производство тканей; за исключением специальных тканей; из химических комплексных нитей и штапельных волокон
51.2,Деятельность грузового воздушного транспорта и космического транспорта
31.09,Производство прочей мебели
18.12,Прочие виды полиграфической деятельности
18.13,Изготовление печатных форм и подготовительная деятельность
73.1,Деятельность рекламная
46.33.1,Торговля оптовая молочными продуктами
18.14,Деятельность брошюровочно-переплетная и отделочная и сопутствующие услуги
52.23.19,Деятельность вспомогательная прочая; связанная с воздушным транспортом
18.11,Печатание газет
46.33.3,Торговля оптовая пищевыми маслами и жирами
46.33.2,Торговля оптовая яйцами
06.20,Добыча природного газа и газового конденсата
18.20,Копирование записанных носителей информации
28.11.2,Производство турбин
23.12.1,Производство упрочненного (в том числе термически упрочненного и закаленного) стекла
28.11.1,Производство двигателей; кроме авиационных; автомобильных и мотоциклетных
51.10,Деятельность пассажирского воздушного транспорта
52.23.11,Деятельность аэропортовая
51.21.3,Аренда грузовых воздушных судов с экипажем
51.21.2,Перевозка воздушным грузовым транспортом; не подчиняющимся расписанию
52.23.13,Выполнение авиационных работ
28.25.12,Производство оборудования для кондиционирования воздуха
28.25.14,Производство оборудования для фильтрования и очистки газов
06.10,Добыча нефти и нефтяного (попутного) газа
95.1,Ремонт компьютеров и коммуникационного оборудования
51.21,Деятельность грузового воздушного транспорта
63.11,Деятельность по обработке данных; предоставление услуг по размещению информации и связанная с этим деятельность
63.12,Деятельность web-порталов
20.15.7,Производство удобрений; не включенных в другие группировки
60.1,Деятельность в области радиовещания
47.71.1,Торговля розничная мужской; женской и детской одеждой в специализированных магазинах
47.71.3,Торговля розничная изделиями из меха в специализированных магазинах
47.71.5,Торговля розничная спортивной одеждой в специализированных магазинах
26.30.4,Производство антенн; антенных отражателей всех видов и их деталей
26.30.6,Производство охранно-пожарной сигнализации и аналогичных приборов
26.30.5,Производство запасных частей и комплектующих радио- и телевизионной передающей аппаратуры и телевизионных камер
26.30.1,Производство коммуникационной аппаратуры; радио- и телевизионной передающей аппаратуры; телевизионных камер
95.2,Ремонт предметов личного потребления и хозяйственно-бытового назначения
77.39.27,Аренда и лизинг торгового оборудования
77.39.26,Аренда и лизинг приборов; аппаратов и прочего оборудования; применяемого в медицинских целях
10.51,Производство молока (кроме сырого) и молочной продукции
77.39.24,Аренда и лизинг профессиональной радио- и телевизионной аппаратуры и аппаратуры связи
77.39.23,Аренда и лизинг подъемно-транспортного оборудования
77.39.22,Аренда и лизинг горного и нефтепромыслового оборудования
10.52,Производство мороженого
77.39.21,Аренда и лизинг двигателей; турбин и станков
84.11.22,Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в городах и районах
84.11.23,Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в сельских населенных пунктах
84.11.21,Деятельность органов государственной власти субъектов Российской Федерации (республик; краев; областей); кроме судебной власти; представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации
46.12.1,Деятельность агентов по оптовой торговле твердым; жидким и газообразным топливом и связанными продуктами
46.12.2,Деятельность агентов по оптовой торговле рудами и металлами в первичных формах
46.12.3,Деятельность агентов по оптовой торговле промышленными и техническими химическими веществами; удобрениями и агрохимикатами
84.23.13,Деятельность кассационных судов общей юрисдикции; апелляционных судов общей юрисдикции; верховных судов республик; краевых; областных судов; судов городов федерального значения; суда автономной области; судов автономных округов
84.23.12,Деятельность Верховного суда Российской Федерации
10.62,Производство крахмала и крахмалосодержащих продуктов
10.61,Производство продуктов мукомольной и крупяной промышленности
84.23.14,Деятельность районных судов
14,Производство одежды
77.39.12,Аренда и лизинг железнодорожного транспорта и оборудования
77.39.11,Аренда и лизинг прочего автомобильного транспорта и оборудования
16,Обработка древесины и производство изделий из дерева и пробки; кроме мебели; производство изделий из соломки и материалов для плетения
18,Деятельность полиграфическая и копирование носителей информации
84.11.35,Деятельность органов местного самоуправления городских округов
46.69.9,Торговля оптовая прочими машинами; приборами; аппаратурой и оборудованием общепромышленного и специального назначения
46.69.8,Торговля оптовая техникой; оборудованием и инструментами; применяемыми в медицинских целях
84.11.33,Деятельность органов местного самоуправления муниципальных районов
84.11.34,Деятельность органов местного самоуправления муниципальных округов
46.69.7,Торговля оптовая измерительными приборами и оборудованием
84.11.31,Деятельность органов местного самоуправления сельских поселений
84.11.32,Деятельность органов местного самоуправления городских поселений
85.41.9,Образование дополнительное детей и взрослых прочее; не включенное в другие группировки
46.69.2,Торговля оптовая эксплуатационными материалами и принадлежностями машин
46.69.1,Торговля оптовая транспортными средствами; кроме автомобилей; мотоциклов и велосипедов
46.69.6,Торговля оптовая оружием и боеприпасами
85.41.2,Образование в области культуры
46.69.5,Торговля оптовая производственным электротехническим оборудованием; машинами; аппаратурой и материалами
46.69.4,Торговля оптовая машинами и оборудованием для производства пищевых продуктов; напитков и табачных изделий
85.41.1,Образование в области спорта и отдыха
46.69.3,Торговля оптовая подъемно-транспортными машинами и оборудованием
71.12.12,Разработка проектов промышленных процессов и производств; относящихся к электротехнике; электронной технике; горному делу; химической технологии; машиностроению; а также в области промышленного строительства; системотехники и техники безопасности
38.32.3,Обработка отходов и лома черных металлов
22,Производство резиновых и пластмассовых изделий
38.32.2,Обработка отходов и лома драгоценных металлов
71.12.13,Разработка проектов по кондиционированию воздуха; холодильной технике; санитарной технике и мониторингу загрязнения окружающей среды; строительной акустике
63.11.1,Деятельность по созданию и использованию баз данных и информационных ресурсов
38.32.5,Обработка вторичного неметаллического сырья
71.12.11,Разработка проектов тепло-; водо-; газоснабжения
38.32.4,Обработка отходов и лома цветных металлов
10.31,Переработка и консервирование картофеля
38.32.1,Сортировка материалов для дальнейшего использования
71.12.14,Разработка инженерно-технических проектов и контроль при строительстве и модернизации объектов использования атомной энергии
10.32,Производство соковой продукции из фруктов и овощей
58.13,Издание газет
63.11.9,Деятельность по предоставлению услуг по размещению информации прочая
58.14,Издание журналов и периодических изданий
58.11,Издание книг
22.19,Производство прочих резиновых изделий
05.10.1,Добыча угля и антрацита
01.13.6,Выращивание грибов и трюфелей
47.53.3,Торговля розничная обоями и напольными покрытиями в специализированных магазинах
47.53.2,Торговля розничная портьерами; тюлевыми занавесями в специализированных магазинах
01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина
01.13.1,Выращивание овощей
58.19,Виды издательской деятельности прочие
22.11,Производство резиновых шин; покрышек и камер; восстановление резиновых шин и покрышек
05.10.2,Обогащение угля
46.34.2,Торговля оптовая алкогольными напитками; включая пиво и пищевой этиловый спирт
46.34.1,Торговля оптовая соками; минеральной водой и прочими безалкогольными напитками
29.3,Производство комплектующих и принадлежностей для автотранспортных средств
10.39,Прочие виды переработки и консервирования фруктов и овощей
29.2,Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов
29.1,Производство автотранспортных средств
36,Забор; очистка и распределение воды
42.99,Строительство прочих инженерных сооружений; не включенных в другие группировки
10.42,Производство маргариновой продукции
10.41,Производство масел и жиров
10.20.4,Производство муки грубого помола и растворимых компонентов из рыбы и прочих водных животных; непригодных для потребления человеком
10.20.3,Производство пищевой рыбной муки или муки для корма животных
22.29,Производство прочих пластмассовых изделий
84.11.13,Деятельность территориальных органов федеральных органов исполнительной власти в городах и районах субъектов Российской Федерации
84.11.11,Деятельность федеральных органов государственной власти; кроме полномочных представителей Президента Российской Федерации и территориальных органов федеральных органов исполнительной власти
84.11.12,Деятельность полномочных представителей Президента Российской Федерации в регионах Российской Федерации и территориальных органов федеральных органов исполнительной власти в субъектах Российской Федерации (республиках; краях; областях)
22.21,Производство пластмассовых плит; полос; труб и профилей
22.22,Производство пластмассовых изделий для упаковывания товаров
22.23,Производство пластмассовых изделий; используемых в строительстве
58.29,Издание прочих программных продуктов
42.91,Строительство водных сооружений
41,Строительство зданий
77.39.29,Аренда и лизинг прочих машин и оборудования научного и промышленного назначения
46,Торговля оптовая; кроме оптовой торговли автотранспортными средствами и мотоциклами
47,Торговля розничная; кроме торговли автотранспортными средствами и мотоциклами
10.11,Переработка и консервирование мяса
71.20.62,Экспертиза проектной документации и результатов инженерных изысканий негосударственная
23.20.2,Производство огнеупорных цементов; растворов; бетонов и аналогичных составов
13.91.2,Производство искусственного меха методом вязания
43.99.9,Работы строительные специализированные; не включенные в другие группировки
43.99.7,Работы по сборке и монтажу сборных конструкций
43.99.5,Работы по монтажу стальных строительных конструкций
10.13,Производство продукции из мяса убойных животных и мяса птицы
43.99.6,Работы каменные и кирпичные
10.12,Производство и консервирование мяса птицы
43.99.3,Работы свайные и работы по строительству фундаментов
43.99.4,Работы бетонные и железобетонные
09.10,Предоставление услуг в области добычи нефти и природного газа
43.99.1,Работы гидроизоляционные
43.99.2,Работы по установке строительных лесов и подмостей
71.20.61,Экспертиза проектной документации; запасов полезных ископаемых и подземных вод; геологической информации о предоставляемых в пользование участках недр; результатов инженерных изысканий государственная
91.04.4,Деятельность природных парков
01.41.21,Производство сырого коровьего молока
91.04.3,Деятельность национальных парков
91.04.2,Деятельность государственных природных заповедников (в том числе биосферных)
91.04.1,Деятельность зоопарков
58,Деятельность издательская
16.29.3,Изготовление изделий из дерева; пробки; соломки и материалов для плетения; корзиночных и плетеных изделий по индивидуальному заказу населения
10.20,Переработка и консервирование рыбы; ракообразных и моллюсков
16.29.1,Производство прочих деревянных изделий
28.15.1,Производство шариковых и роликовых подшипников
71.11,Деятельность в области архитектуры
71.12,Деятельность в области инженерных изысканий; инженерно-технического проектирования; управления проектами строительства; выполнения строительного контроля и авторского надзора; предоставление технических консультаций в этих областях
30.91,Производство мотоциклов
30.99,Производство прочих транспортных средств и оборудования; не включенных в другие группировки
28.15.2,Производство корпусов подшипников и подшипников скольжения; зубчатых колес; зубчатых передач и элементов приводов
01.41.12,Разведение племенного молочного крупного рогатого скота
62,Разработка компьютерного программного обеспечения; консультационные услуги в данной области и другие сопутствующие услуги
16.2,Производство изделий из дерева; пробки; соломки и материалов для плетения
16.1,Распиловка и строгание древесины
91.0,Деятельность библиотек; архивов; музеев и прочих объектов культуры
69,Деятельность в области права и бухгалтерского учета
